Status,Is_Dropout,Course_Name,Gender_Label,Age_at_enrollment,Age_Group,Scholarship_Label,Tuition_Label,Debtor_Label,Marital_Label,Admission_grade,Previous_qualification_grade,Curricular_units_1st_sem_approved,Curricular_units_2nd_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Sem1_Approved_Group,Sem2_Approved_Group,Sem2_Grade_Group,Unemployment_rate,GDP
Dropout,1,Animation & Multimedia Design,Laki-laki,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,127.3,122.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),10.8,1.74
Graduate,0,Tourism,Laki-laki,19,<20 Tahun,Tidak,Menunggak,Tidak,Lajang,142.5,160.0,6,6,14.0,13.666666666666666,4-6 Unit,4-6 Unit,Sedang (11-14),13.9,0.79
Dropout,1,Communication Design,Laki-laki,19,<20 Tahun,Tidak,Menunggak,Tidak,Lajang,124.8,122.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),10.8,1.74
Graduate,0,Journalism & Communication,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,119.6,122.0,6,5,13.428571428571429,12.4,4-6 Unit,4-6 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Social Service (Evening),Perempuan,45,>25 Tahun,Tidak,Tepat Waktu,Tidak,Menikah,141.5,100.0,5,6,12.333333333333334,13.0,4-6 Unit,4-6 Unit,Sedang (11-14),13.9,0.79
Graduate,0,Management (Evening),Laki-laki,50,>25 Tahun,Tidak,Tepat Waktu,Memiliki Tunggakan,Menikah,114.8,133.1,5,5,11.857142857142858,11.5,4-6 Unit,4-6 Unit,Sedang (11-14),16.2,-0.92
Graduate,0,Nursing,Perempuan,18,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,128.4,142.0,7,8,13.3,14.345,7+ Unit,7+ Unit,Tinggi (15-20),15.5,-4.06
Dropout,1,Tourism,Laki-laki,22,20-22 Tahun,Tidak,Menunggak,Tidak,Lajang,113.1,119.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),15.5,-4.06
Graduate,0,Social Service,Perempuan,21,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,129.3,137.0,6,6,13.875,14.142857142857142,4-6 Unit,4-6 Unit,Tinggi (15-20),16.2,-0.92
Dropout,1,Social Service,Perempuan,18,<20 Tahun,Tidak,Menunggak,Memiliki Tunggakan,Lajang,123.0,138.0,5,2,11.4,13.5,4-6 Unit,1-3 Unit,Sedang (11-14),8.9,3.51
Graduate,0,Advertising & Marketing Mgmt,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,130.6,139.0,6,5,12.333333333333334,14.2,4-6 Unit,4-6 Unit,Tinggi (15-20),13.9,0.79
Graduate,0,Nursing,Perempuan,18,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,119.3,136.0,7,7,13.214285714285714,13.214285714285714,7+ Unit,7+ Unit,Sedang (11-14),12.7,-1.7
Dropout,1,Basic Education,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,130.2,133.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),12.7,-1.7
Graduate,0,Tourism,Perempuan,21,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,111.8,110.0,6,5,10.571428571428571,11.0,4-6 Unit,4-6 Unit,Sedang (11-14),8.9,3.51
Graduate,0,Veterinary Nursing,Perempuan,18,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,137.1,149.0,4,5,13.25,12.0,4-6 Unit,4-6 Unit,Sedang (11-14),10.8,1.74
Dropout,1,Journalism & Communication,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,120.7,127.0,5,0,13.2,0.0,4-6 Unit,0 Unit,Tidak Lulus (0),15.5,-4.06
Enrolled,0,Social Service,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,137.4,137.0,1,2,12.0,11.0,1-3 Unit,1-3 Unit,Sedang (11-14),10.8,1.74
Graduate,0,Nursing,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,127.3,135.0,7,8,13.30625,14.545,7+ Unit,7+ Unit,Tinggi (15-20),15.5,-4.06
Graduate,0,Equinculture,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,136.3,137.0,4,4,12.5,12.25,4-6 Unit,4-6 Unit,Sedang (11-14),10.8,1.74
Enrolled,0,Basic Education,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,124.6,140.0,6,6,11.666666666666666,13.5,4-6 Unit,4-6 Unit,Sedang (11-14),16.2,-0.92
Graduate,0,Animation & Multimedia Design,Perempuan,21,20-22 Tahun,Ya,Tepat Waktu,Tidak,Lajang,120.3,122.0,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),11.1,2.02
Enrolled,0,Oral Hygiene,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,121.8,127.0,7,8,11.4375,11.425,7+ Unit,7+ Unit,Sedang (11-14),12.7,-1.7
Graduate,0,Nursing,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,125.5,142.0,7,7,12.857142857142858,12.857142857142858,7+ Unit,7+ Unit,Sedang (11-14),12.7,-1.7
Graduate,0,Advertising & Marketing Mgmt,Perempuan,19,<20 Tahun,Ya,Tepat Waktu,Tidak,Lajang,114.9,125.0,6,6,13.375,12.285714285714286,4-6 Unit,4-6 Unit,Sedang (11-14),11.1,2.02
Graduate,0,Nursing,Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,123.9,126.0,6,7,13.296666666666669,14.114285714285714,4-6 Unit,7+ Unit,Tinggi (15-20),11.1,2.02
Enrolled,0,Social Service,Perempuan,18,<20 Tahun,Ya,Tepat Waktu,Memiliki Tunggakan,Lajang,157.0,151.0,5,4,11.6,11.0,4-6 Unit,4-6 Unit,Sedang (11-14),7.6,0.32
Graduate,0,Social Service,Perempuan,21,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,116.4,115.0,6,6,11.375,13.285714285714286,4-6 Unit,4-6 Unit,Sedang (11-14),16.2,-0.92
Enrolled,0,Veterinary Nursing,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,131.0,138.0,5,4,12.666666666666666,13.0,4-6 Unit,4-6 Unit,Sedang (11-14),9.4,-3.12
Graduate,0,Management,Perempuan,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,122.1,135.0,5,5,12.0,12.333333333333334,4-6 Unit,4-6 Unit,Sedang (11-14),16.2,-0.92
Enrolled,0,Nursing,Laki-laki,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,118.8,127.0,6,6,12.933333333333332,13.716666666666669,4-6 Unit,4-6 Unit,Sedang (11-14),16.2,-0.92
Enrolled,0,Agronomy,Laki-laki,21,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,150.0,150.0,5,5,11.857142857142858,10.571428571428571,4-6 Unit,4-6 Unit,Sedang (11-14),16.2,-0.92
Graduate,0,Communication Design,Laki-laki,20,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,130.0,125.0,6,4,12.833333333333334,13.4,4-6 Unit,4-6 Unit,Sedang (11-14),8.9,3.51
Enrolled,0,Management,Laki-laki,18,<20 Tahun,Tidak,Menunggak,Tidak,Lajang,138.8,143.0,3,2,11.333333333333334,13.5,1-3 Unit,1-3 Unit,Sedang (11-14),8.9,3.51
Graduate,0,Social Service (Evening),Perempuan,19,<20 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,134.5,138.0,6,6,12.666666666666666,14.375,4-6 Unit,4-6 Unit,Tinggi (15-20),12.4,1.79
Graduate,0,Management (Evening),Laki-laki,34,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,131.4,130.0,5,5,12.4,13.428571428571429,4-6 Unit,4-6 Unit,Sedang (11-14),13.9,0.79
Dropout,1,Biofuel Production Technologies,Laki-laki,37,>25 Tahun,Tidak,Menunggak,Memiliki Tunggakan,Lajang,102.5,130.0,0,1,0.0,10.0,0 Unit,1-3 Unit,Rendah (1-10),8.9,3.51
Dropout,1,Informatics Engineering,Laki-laki,43,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,128.8,133.1,0,0,0.0,0.0,0 Unit,0 Unit,Tidak Lulus (0),7.6,0.32
Dropout,1,Management,Perempuan,55,>25 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,122.9,140.0,1,2,10.0,12.0,1-3 Unit,1-3 Unit,Sedang (11-14),16.2,-0.92
Graduate,0,Management (Evening),Perempuan,39,>25 Tahun,Tidak,Tepat Waktu,Tidak,Cerai,113.9,120.0,5,5,11.0,11.6,4-6 Unit,4-6 Unit,Sedang (11-14),7.6,0.32
Dropout,1,Equinculture,Perempuan,20,20-22 Tahun,Tidak,Menunggak,Memiliki Tunggakan,Lajang,120.0,120.0,3,3,11.666666666666666,12.0,1-3 Unit,1-3 Unit,Sedang (11-14),12.4,1.79
Dropout,1,Journalism & Communication,Perempuan,18,<20 Tahun,Tidak,Tepat Waktu,Memiliki Tunggakan,Lajang,121.1,126.0,4,0,12.75,0.0,4-6 Unit,0 Unit,Tidak Lulus (0),12.7,-1.7
Graduate,0,Management,Perempuan,22,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,120.4,133.0,5,5,14.8,15.8,4-6 Unit,4-6 Unit,Tinggi (15-20),8.9,3.51
Graduate,0,Nursing,Perempuan,22,20-22 Tahun,Tidak,Tepat Waktu,Tidak,Lajang,100.6,103.0,5,7,13.928,14.342857142857142,4-6 Unit,7+ Unit,Tinggi (15-20),11.1,2.02
Dropout,1,Journalism & Communication,Perempuan,20,20-22 Tahun,Tidak,Menunggak,Tidak,Lajang,121.4,120.0,4,5,13.0,13.8,4-6 Unit,4-6 Unit,Sedang (11-14),12.4,1.79
